AUT-response_id,participant_fk,stimulus_fk,starttime,endtime,response,toptwo,response_EN_translated,response_EN_corrected
5,1,2,0,0,hefboom,NULL,lever,lever
6,1,2,0,0,moordwapen,NULL,murder weapon,murder weapon
7,1,2,0,0,badspeeltje,NULL,bath toy,bath toy
8,1,2,0,0,vuur mee maken,NULL,make fire with it,make fire with it
38,7,2,1464597939012,1464597957135,vijl,1,file,file
39,7,2,1464597957135,1464597965375,drukpers,1,printing press,printing press
40,7,2,1464597965375,1464597982254,om in te breken,NULL,to break in,to break in
41,7,2,1464597982254,1464598043271,iemands hand breken,NULL,break someone's hand,break someone's hand
42,7,2,1464598043271,1464598051912,een revolutie beginnen,NULL,start a revolution,start a revolution
103,9,2,1464598925779,1464598927337,kam,1,comb,comb
104,9,2,1464598927337,1464598930230,haarkam,NULL,hair comb,hair comb
105,9,2,1464598930230,1464598933314,steekmiddel,1,stitching agent,stitching agent
127,11,2,1464608190321,1464608208998,Als kabelgootje,NULL,As cable tray,As cable tray
128,11,2,1464608208998,1464608239650,Als je vork erg stevig is kan je hem gebruiken als haring,NULL,If your fork is very sturdy you can use it as a herring,If your fork is very sturdy you can use it as a herring
129,11,2,1464608239650,1464608252537,Of om andere draden mee in een positie te houden,1,Or to hold other wires in a position with,Or to hold other wires in a position with
130,11,2,1464608252537,1464608269820,Je kan iemand verwonden met een vork (lijkt me moeizaam),NULL,You can injure someone with a fork (seems laborious to me),You can injure someone with a fork (seems laborious to me)
131,11,2,1464608269820,1464608280440,Of je naam in een muur krassen,NULL,Or scratch your name into a wall,Or scratch your name into a wall
132,11,2,1464608280440,1464608300535,Als je hem buigt door verhitting kan je er een armband van maken,1,If you bend it by heating it you can make a bracelet out of it,If you bend it by heating it you can make a bracelet out of it
173,12,2,1464695476175,1464695481310,een mes,NULL,a knife,a knife
174,12,2,1464695481310,1464695484302,een lepel,NULL,a spoon,a spoon
175,12,2,1464695484302,1464695489944,een krabber,NULL,a scraper,a scraper
176,12,2,1464695489944,1464695497079,een schroevendraaier,NULL,a screwdriver,a screwdriver
177,12,2,1464695497079,1464695508574,behangafhaalding,NULL,wallpaper pickup,wallpaper pickup
178,12,2,1464695508574,1464695519883,een steekwapen,NULL,a stabbing weapon,a stabbing weapon
179,12,2,1464695519883,1464695534813,een kapstok voor barbiekleren,NULL,a coat rack for barbie clothes,a coat rack for barbie clothes
180,12,2,1464695534813,1464695545111,een bezem,NULL,a broom,a broom
181,12,2,1464695545111,1464695552817,een tandenborstel,1,a toothbrush,a toothbrush
182,12,2,1464695552817,1464695561031,een perforator,NULL,a hole punch,a hole punch
183,12,2,1464695561031,1464695572148,breistokjes,1,knitting sticks,knitting sticks
240,13,2,1464696482431,1464696486836,een kam,NULL,a comb,a comb
241,13,2,1464696486836,1464696517286,je kan een vork ombuigen en aan de muur schroeven om er vervolgens een hangplant aan te hangen,1,you can bend a fork and screw it to the wall and then hang a hanging plant from it,you can bend a fork and screw it to the wall and then hang a hanging plant from it
242,13,2,1464696517286,1464696536821,je kan de tanden van een vork zo buigen dat het een standaard wordt voor naamkaartjes aan een tafel,1,you can bend the tines of a fork so that it becomes a stand for name tags at a table,you can bend the tines of a fork so that it becomes a stand for name tags at a table
243,13,2,1464696536821,1464696554649,als hark om de tuin mee te harken,NULL,as a rake for raking the garden,as a rake for raking the garden
244,13,2,1464696554649,1464696558495,als sleutel ,NULL,as the key ,as the key 
245,13,2,1464696558495,1464696575727,je kan het raam open houden met een vork zodat het niet dichtwaait ,NULL,you can hold the window open with a fork so it doesn't blow shut ,you can hold the window open with a fork so it doesn't blow shut 
246,13,2,1464696575727,1464696601401,wapen,NULL,weapon,weapon
301,14,2,1464779468224,1464779470212,eten,NULL,food,food
302,14,2,1464779470212,1464779473676,gaatjes maken,NULL,bob,bob
303,14,2,1464779473676,1464779478478,geluid maken,NULL,make noise,make noise
304,14,2,1464779478478,1464779486489,om in je haar te doen om je knotje mee vast te houden,NULL,To put in your hair to hold your bun,To put in your hair to hold your bun
305,14,2,1464779486489,1464779499722,iets kerven in hout/steen o.i.d.,NULL,carve something in wood/stone or the like.,carve something in wood/stone or the like.
306,14,2,1464779499722,1464779504483,je haar mee kammen,1,comb your hair,comb your hair
307,14,2,1464779504483,1464779516480,als wapen gebruiken,NULL,rifle,rifle
308,14,2,1464779516480,1464779527382,snijden (ipv een mes),NULL,cutting (instead of a knife),cutting (instead of a knife)
309,14,2,1464779527382,1464779546896,als tandenstoker,NULL,as a toothpick,as a toothpick
310,14,2,1464779546896,1464779559242,krabben op je rug,NULL,scratching your back,scratching your back
311,14,2,1464779559242,1464779567064,vuil onder je nagels vandaan halen,1,get dirt from under your nails,get dirt from under your nails
395,15,2,1464784811242,1464784814943,borstel,1,brush,brush
396,15,2,1464784814943,1464784821245,onkruidwieder,NULL,weed whacker,weed whacker
397,15,2,1464784821245,1464784825649,rugkrabber,1,back scraper,back scraper
398,15,2,1464784825649,1464784833507,prikstok voor vuilnis,NULL,stick for garbage,stick for garbage
399,15,2,1464784833507,1464784853723,katapult voor het schieten van eten,NULL,catapult for shooting food,catapult for shooting food
400,15,2,1464784853723,1464784865310,houder voor je punnikwerkje,NULL,holder for your punk work,holder for your punk work
401,15,2,1464784865310,1464784881171,puntjesprikker in papier,NULL,paper puncture,paper puncture
402,15,2,1464784881171,1464784905048,figurenmaker in deeg voor koekjes,NULL,figure maker in dough for cookies,figure maker in dough for cookies
403,15,2,1464784905048,1464784920826,aandrukken van de randjes van de appelflap,NULL,pressing the edges of the apple turnovers,pressing the edges of the apple turnovers
