id,item,response
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,1. A book can be used as a doorstop.
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,2. A book can be used to start a fire.
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,3. A book can be used to prop up a table or chair leg.
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,4. A book can be used as a paperweight.
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,5. A book can be used to make art such as by decoupaging it onto a canvas or
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,1. A book can be used as a door stop.
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,2. A book can be used to start a fire.
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,3. A book can be used to prop up a table or chair leg.
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,4. A book can be used as a paperweight.
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,5. A book can be used to make a collage or sculpture.
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,1. A book can be used as a door stop.
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,2. A book can be used to prop up a table or chair leg.
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,3. A book can be used as a paperweight.
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,4. A book can be used to make a collage or scrapbook.
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,5. A book can be cut up and used as confetti or streamers.
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,1. A book can be used as a doorstop.
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,2. A book can be used to start a fire.
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,3. A book can be used as a paperweight.
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,4. A book can be used to prop up a wobbly table leg.
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,5. A book can be used as a coaster for drinks (to prevent water rings on furniture).
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,1. A book can be used as a doorstop.
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,2. A book can be used to hold open a window.
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,3. A book can be used as a coaster for a hot beverage.
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,4. A book can be used to level a table or shelf.
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,5. A book can be used as an improvised weapon in self-defense or attack.
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,1. Make a book into a lampshade.
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,2. Turn an old book into a secret compartment.
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,3. Use books as coasters for your drinks.
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,4. Build a fort out of old books.
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,5. Donate books to your local library or hospital waiting room.
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,6. Give a new twist to an old favorite by reading it in character voices
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,1. A book can be used as a doorstop.
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,2. A book can be used to start a fire.
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,3. A book can be used as a paperweight.
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,4. A book can be used to prop up a wobbly table or chair.
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,5. A book can be used as a weapon (for self-defense or attack).
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,1. A book can be used as a doorstop.
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,2. A book can be used as a paperweight.
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,3. A book can be used to prop up a wobbly table leg.
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,4. A book can be used to make a small shelf or ledge.
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,5. A book can be used to hold open a window or door.
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,1. A book can be used as a doorstop.
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,2. A book can be used to level a table or shelf.
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,3. A book can be used as a paperweight.
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,4. A book can be used to make a impromptu stool or chair.
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,5. A book can be used in place of a cutting board when slicing vegetables or meat.
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,1. A book can be used as a doorstop.
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,2. A book can be used to keep a table level.
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,3. A book can be used to make a paperweight.
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,4. A book can be used as a coaster for hot drinks.
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,5. A book can be used to hold open a window or door.
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,1. A book can be used as a doorstop.
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,2. A book can be used to start a fire in an emergency situation.
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,3. A book can be used as a coaster for your beverage.
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,4. A book can be used to level a table or surface.
cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,5. A book can be used as decoration on a shelf or mantelpiece.
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,1) A book can be used as a doorstop.
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,2) A book can be used to start a fire.
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,3) A book can be used to prop up a table.
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,4) A book can be used as a paperweight.
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,5) A book can be used to hold open a window.
cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,6) A book can be used to make a paper
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,1. A book can be used as a doorstop.
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,2. A book can be used to level a table or shelf.
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,3. A book can be used as a paperweight.
cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,4. A book can be used to make a collage or scrapbook.
