"","research_id","respondent_id","response_id","temperature","object","response_EN","originality_rating","utility_rating","surprise_rating"
"1","GPT3202204",1,2022040001,0.67,"book","doorstop",NA,NA,NA
"2","GPT3202204",1,2022040002,0.67,"book","start a fire",NA,NA,NA
"3","GPT3202204",1,2022040003,0.67,"book","prop up a table or chair leg",NA,NA,NA
"4","GPT3202204",1,2022040004,0.67,"book","paperweight",NA,NA,NA
"5","GPT3202204",1,2022040005,0.67,"book","make art such as by decoupaging it onto a canvas or",NA,NA,NA
"6","GPT3202204",2,2022040006,0.67,"book","door stop",NA,NA,NA
"7","GPT3202204",2,2022040007,0.67,"book","start a fire",NA,NA,NA
"8","GPT3202204",2,2022040008,0.67,"book","prop up a table or chair leg",NA,NA,NA
"9","GPT3202204",2,2022040009,0.67,"book","paperweight",NA,NA,NA
"10","GPT3202204",2,2022040010,0.67,"book","make a collage or sculpture",NA,NA,NA
"11","GPT3202204",2,2022040011,0.67,"book","can be",NA,NA,NA
"12","GPT3202204",3,2022040012,0.67,"book","door stop",NA,NA,NA
"13","GPT3202204",3,2022040013,0.67,"book","prop up a table or chair leg",NA,NA,NA
"14","GPT3202204",3,2022040014,0.67,"book","paperweight",NA,NA,NA
"15","GPT3202204",3,2022040015,0.67,"book","make a collage or scrapbook",NA,NA,NA
"16","GPT3202204",3,2022040016,0.67,"book","cut up and used as confetti or streamers",NA,NA,NA
"17","GPT3202204",4,2022040017,0.68,"book","doorstop",NA,NA,NA
"18","GPT3202204",4,2022040018,0.68,"book","start a fire",NA,NA,NA
"19","GPT3202204",4,2022040019,0.68,"book","paperweight",NA,NA,NA
"20","GPT3202204",4,2022040020,0.68,"book","prop up a wobbly table leg",NA,NA,NA
"21","GPT3202204",4,2022040021,0.68,"book","coaster for drinks (to prevent water rings on furniture)",NA,NA,NA
"22","GPT3202204",5,2022040022,0.68,"book","doorstop",NA,NA,NA
"23","GPT3202204",5,2022040023,0.68,"book","hold open a window",NA,NA,NA
"24","GPT3202204",5,2022040024,0.68,"book","coaster for a hot beverage",NA,NA,NA
"25","GPT3202204",5,2022040025,0.68,"book","level a table or shelf",NA,NA,NA
"26","GPT3202204",5,2022040026,0.68,"book","used as an improvised weapon in self-defense or attack",NA,NA,NA
"27","GPT3202204",6,2022040027,0.68,"book","Make a book into a lampshade",NA,NA,NA
"28","GPT3202204",6,2022040028,0.68,"book","Turn an old book into a secret compartment",NA,NA,NA
"29","GPT3202204",6,2022040029,0.68,"book","Use books as coasters for your drinks",NA,NA,NA
"30","GPT3202204",6,2022040030,0.68,"book","Build a fort out of old books",NA,NA,NA
"31","GPT3202204",6,2022040031,0.68,"book","Donate books to your local library or hospital waiting room",NA,NA,NA
"32","GPT3202204",6,2022040032,0.68,"book","Give a new twist to an old favorite by reading it in character voices",NA,NA,NA
"33","GPT3202204",7,2022040033,0.69,"book","doorstop",NA,NA,NA
"34","GPT3202204",7,2022040034,0.69,"book","start a fire",NA,NA,NA
"35","GPT3202204",7,2022040035,0.69,"book","paperweight",NA,NA,NA
"36","GPT3202204",7,2022040036,0.69,"book","prop up a wobbly table or chair",NA,NA,NA
"37","GPT3202204",7,2022040037,0.69,"book","weapon (for self-defense or attack)",NA,NA,NA
"38","GPT3202204",8,2022040038,0.69,"book","doorstop",NA,NA,NA
"39","GPT3202204",8,2022040039,0.69,"book","paperweight",NA,NA,NA
"40","GPT3202204",8,2022040040,0.69,"book","prop up a wobbly table leg",NA,NA,NA
"41","GPT3202204",8,2022040041,0.69,"book","make a small shelf or ledge",NA,NA,NA
"42","GPT3202204",8,2022040042,0.69,"book","hold open a window or door",NA,NA,NA
"43","GPT3202204",9,2022040043,0.69,"book","doorstop",NA,NA,NA
"44","GPT3202204",9,2022040044,0.69,"book","level a table or shelf",NA,NA,NA
"45","GPT3202204",9,2022040045,0.69,"book","paperweight",NA,NA,NA
"46","GPT3202204",9,2022040046,0.69,"book","make a impromptu stool or chair",NA,NA,NA
"47","GPT3202204",9,2022040047,0.69,"book","used in place of a cutting board when slicing vegetables or meat",NA,NA,NA
"48","GPT3202204",10,2022040048,0.7,"book","doorstop",NA,NA,NA
"49","GPT3202204",10,2022040049,0.7,"book","keep a table level",NA,NA,NA
"50","GPT3202204",10,2022040050,0.7,"book","make a paperweight",NA,NA,NA
"51","GPT3202204",10,2022040051,0.7,"book","coaster for hot drinks",NA,NA,NA
"52","GPT3202204",10,2022040052,0.7,"book","hold open a window or door",NA,NA,NA
"53","GPT3202204",10,2022040053,0.7,"book","can be",NA,NA,NA
"54","GPT3202204",11,2022040054,0.7,"book","doorstop",NA,NA,NA
"55","GPT3202204",11,2022040055,0.7,"book","start a fire in an emergency situation",NA,NA,NA
"56","GPT3202204",11,2022040056,0.7,"book","coaster for your beverage",NA,NA,NA
"57","GPT3202204",11,2022040057,0.7,"book","level a table or surface",NA,NA,NA
"58","GPT3202204",11,2022040058,0.7,"book","used as decoration on a shelf or mantelpiece",NA,NA,NA
"59","GPT3202204",12,2022040059,0.7,"book","doorstop",NA,NA,NA
"60","GPT3202204",12,2022040060,0.7,"book","start a fire",NA,NA,NA
"61","GPT3202204",12,2022040061,0.7,"book","prop up a table",NA,NA,NA
"62","GPT3202204",12,2022040062,0.7,"book","paperweight",NA,NA,NA
"63","GPT3202204",12,2022040063,0.7,"book","hold open a window",NA,NA,NA
"64","GPT3202204",12,2022040064,0.7,"book","make a paper",NA,NA,NA
"65","GPT3202204",13,2022040065,0.71,"book","doorstop",NA,NA,NA
"66","GPT3202204",13,2022040066,0.71,"book","level a table or shelf",NA,NA,NA
"67","GPT3202204",13,2022040067,0.71,"book","paperweight",NA,NA,NA
"68","GPT3202204",13,2022040068,0.71,"book","make a collage or scrapbook",NA,NA,NA
"69","GPT3202204",13,2022040069,0.71,"book","used as kindling for a fire",NA,NA,NA
"70","GPT3202204",13,2022040070,0.71,"book","can",NA,NA,NA
"71","GPT3202204",14,2022040071,0.71,"book","doorstop",NA,NA,NA
"72","GPT3202204",14,2022040072,0.71,"book","level a table or other surface",NA,NA,NA
"73","GPT3202204",14,2022040073,0.71,"book","prop up a wobbly chair or couch",NA,NA,NA
"74","GPT3202204",14,2022040074,0.71,"book","paperweight",NA,NA,NA
"75","GPT3202204",14,2022040075,0.71,"book","door stop in an open doorway to help",NA,NA,NA
"76","GPT3202204",15,2022040076,0.71,"book","doorstop",NA,NA,NA
"77","GPT3202204",15,2022040077,0.71,"book","level a table or shelf",NA,NA,NA
"78","GPT3202204",15,2022040078,0.71,"book","paperweight",NA,NA,NA
"79","GPT3202204",15,2022040079,0.71,"book","keep papers from blowing away in the wind",NA,NA,NA
"80","GPT3202204",15,2022040080,0.71,"book","make a small step stool",NA,NA,NA
"81","GPT3202204",15,2022040081,0.71,"book","book",NA,NA,NA
"82","GPT3202204",16,2022040082,0.72,"book","doorstop",NA,NA,NA
"83","GPT3202204",16,2022040083,0.72,"book","prop up a wobbly table",NA,NA,NA
"84","GPT3202204",16,2022040084,0.72,"book","make a paper airplane",NA,NA,NA
"85","GPT3202204",16,2022040085,0.72,"book","used as kindling for a fire",NA,NA,NA
"86","GPT3202204",16,2022040086,0.72,"book","absorb spilled liquid",NA,NA,NA
"87","GPT3202204",16,2022040087,0.72,"book","collection of books",NA,NA,NA
"88","GPT3202204",17,2022040088,0.72,"book","door stop",NA,NA,NA
"89","GPT3202204",17,2022040089,0.72,"book","level a table",NA,NA,NA
"90","GPT3202204",17,2022040090,0.72,"book","prop up a wobbly chair",NA,NA,NA
"91","GPT3202204",17,2022040091,0.72,"book","paperweight",NA,NA,NA
"92","GPT3202204",17,2022040092,0.72,"book","make a small stool or side table",NA,NA,NA
"93","GPT3202204",17,2022040093,0.72,"book","cut in half and the",NA,NA,NA
"94","GPT3202204",18,2022040094,0.72,"book","doorstop",NA,NA,NA
"95","GPT3202204",18,2022040095,0.72,"book","level a table or chair",NA,NA,NA
"96","GPT3202204",18,2022040096,0.72,"book","paperweight",NA,NA,NA
"97","GPT3202204",18,2022040097,0.72,"book","prop open a window",NA,NA,NA
"98","GPT3202204",18,2022040098,0.72,"book","coaster for a hot beverage",NA,NA,NA
"99","GPT3202204",18,2022040099,0.72,"book","used",NA,NA,NA
"100","GPT3202204",19,2022040100,0.73,"book","doorstop",NA,NA,NA
"101","GPT3202204",19,2022040101,0.73,"book","level a table or chair",NA,NA,NA
"102","GPT3202204",19,2022040102,0.73,"book","paperweight",NA,NA,NA
"103","GPT3202204",19,2022040103,0.73,"book","prop up a wobbly leg on a piece of furniture",NA,NA,NA
"104","GPT3202204",19,2022040104,0.73,"book","used as fuel for a fire",NA,NA,NA
"105","GPT3202204",20,2022040105,0.73,"book","door stop",NA,NA,NA
"106","GPT3202204",20,2022040106,0.73,"book","level a table or shelf",NA,NA,NA
"107","GPT3202204",20,2022040107,0.73,"book","prop up a wobbly chair or table leg",NA,NA,NA
"108","GPT3202204",20,2022040108,0.73,"book","paperweight",NA,NA,NA
"109","GPT3202204",20,2022040109,0.73,"book","smash spiders or other bugs",NA,NA,NA
"110","GPT3202204",21,2022040110,0.73,"book","doorstop",NA,NA,NA
"111","GPT3202204",21,2022040111,0.73,"book","level a table or chair",NA,NA,NA
"112","GPT3202204",21,2022040112,0.73,"book","paperweight",NA,NA,NA
"113","GPT3202204",21,2022040113,0.73,"book","prop up a wobbly table leg",NA,NA,NA
"114","GPT3202204",21,2022040114,0.73,"book","used as kindling for a fire",NA,NA,NA
"115","GPT3202204",21,2022040115,0.73,"book","book",NA,NA,NA
"116","GPT3202204",22,2022040116,0.74,"book","Make a book into a lampshade",NA,NA,NA
"117","GPT3202204",22,2022040117,0.74,"book","clock by gluing numbers to the cover and attaching hands",NA,NA,NA
"118","GPT3202204",22,2022040118,0.74,"book","Create a sculpture or collage by decoupaging old book pages onto an object",NA,NA,NA
"119","GPT3202204",22,2022040119,0.74,"book","Make coasters out ofbook pages sealed with mod podge.",NA,NA,NA
"120","GPT3202204",22,2022040120,0.74,"book","Fold the pages of an old book",NA,NA,NA
"121","GPT3202204",23,2022040121,0.74,"book","doorstop",NA,NA,NA
"122","GPT3202204",23,2022040122,0.74,"book","level a table or shelf",NA,NA,NA
"123","GPT3202204",23,2022040123,0.74,"book","paperweight",NA,NA,NA
"124","GPT3202204",23,2022040124,0.74,"book","make a collage or sculpture",NA,NA,NA
"125","GPT3202204",23,2022040125,0.74,"book","used as fuel for a fire",NA,NA,NA
"126","GPT3202204",23,2022040126,0.74,"book","used",NA,NA,NA
