id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
29,sound amplifier,sound amplifier,tin can,tin can,0.86589,0.99774,1.05048,1.00736,1.13123,1.01054,-0.0049
30,pet,pet,tin can,tin can,1.05855,1.08443,0.95072,0.98853,1.17672,1.05179,0.06932
31,Pen holder,pen holder,tin can,tin can,0.89344,0.92962,1.0255,1.2421,0.75127,0.96839,-0.01618
32,to throw,throw,tin can,tin can,0.90916,1.02247,1.01921,0.96516,1.21522,1.02624,0.01252
68,file,file,tin can,tin can,0.98783,0.94527,1.00246,0.99514,1.19716,1.02557,0.02829
69,printing press,printing press,tin can,tin can,0.95467,0.89801,1.00131,0.97614,0.6123700000000001,0.8885,-0.01629
70,to break in,break,tin can,tin can,0.98591,1.11585,1.05987,1.00776,1.29823,1.09352,0.07098
71,break someone's hand,break someone hand,tin can,tin can,0.92622,1.04515,1.04179,1.03975,1.67741,1.14606,0.04773
72,start a revolution,start revolution,tin can,tin can,0.82663,1.01265,0.91547,1.03601,0.38505,0.83516,-0.07057
97,can 1,can,tin can,tin can,0.8511299999999999,1.10971,0.94747,0.89275,1.45019,1.05025,-0.00271
98,can 2,can,tin can,tin can,0.8511299999999999,1.10971,0.94747,0.89275,1.45019,1.05025,-0.00271
99,can 3,can,tin can,tin can,0.8511299999999999,1.10971,0.94747,0.89275,1.45019,1.05025,-0.00271
100,can 4,can,tin can,tin can,0.8511299999999999,1.10971,0.94747,0.89275,1.45019,1.05025,-0.00271
118,can of,can,tin can,tin can,0.8511299999999999,1.10971,0.94747,0.89275,1.45019,1.05025,-0.00271
119,can2,can,tin can,tin can,0.8511299999999999,1.10971,0.94747,0.89275,1.45019,1.05025,-0.00271
120,canj3,canj,tin can,tin can,NA,NA,NA,NA,NA,NA,NA
163,With the tabs you can play a drinking game,with tabs can play drinking game,tin can,tin can,0.9031,1.09407,1.08558,1.02619,0.35549,0.89289,0.00332
164,With the can itself you can make a knife should you have a broken one,with can can make knife broken one,tin can,tin can,0.98329,1.0877,1.00951,0.79863,1.66818,1.10946,0.06279
165,In a can you can store things but that's also kind of its original use,in can can store things also kind original use,tin can,tin can,0.99225,0.8825000000000001,0.98672,0.80264,1.6771,1.06824,0.02829
166,You can make it a weight by filling it with soil,you can make weight filling soil,tin can,tin can,0.9338299999999999,1.05546,0.97966,1.07695,0.30296,0.86977,-0.01053
167,so that something doesn't blow away,something blow away,tin can,tin can,0.96992,1.08496,0.99182,1.04168,1.68198,1.15407,0.06293
229,toothbrush holder,toothbrush holder,tin can,tin can,0.8753299999999999,1.14247,1.00099,1.11521,0.91223,1.00925,0.00944
230,a chewing gum tray,chewing gum tray,tin can,tin can,1.00977,1.01267,1.06307,0.92553,0.98662,0.99953,0.04887
231,a vase,vase,tin can,tin can,1.10318,0.99177,1.03808,1.00658,0.92276,1.01247,0.0785
232,a weapon,weapon,tin can,tin can,0.88705,1.07782,0.96477,1.03601,1.3148900000000001,1.05611,0.00934
233,rocket motor,rocket motor,tin can,tin can,0.88919,0.88983,1.01024,1.00031,0.6447,0.88685,-0.04006
276,pen box,pen box,tin can,tin can,0.84295,0.88017,0.99987,0.86172,0.68938,0.85482,-0.06524
