"id","item","response","response_id","object","respondent_id","temperature"
"1","chair","doorstop",2022040001,"book","cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
"2","chair","start a fire",2022040002,"book","cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
"3","chair","prop up a table or chair leg",2022040003,"book","cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
"4","chair","paperweight",2022040004,"book","cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
"5","chair","make art such as by decoupaging it onto a canvas or",2022040005,"book","cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
"6","chair","door stop",2022040006,"book","cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
"7","chair","start a fire",2022040007,"book","cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
"8","chair","prop up a table or chair leg",2022040008,"book","cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
"9","chair","paperweight",2022040009,"book","cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
"10","chair","make a collage or sculpture",2022040010,"book","cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
"11","chair","can be",2022040011,"book","cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
"12","chair","door stop",2022040012,"book","cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
"13","chair","prop up a table or chair leg",2022040013,"book","cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
"14","chair","paperweight",2022040014,"book","cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
"15","chair","make a collage or scrapbook",2022040015,"book","cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
"16","chair","cut up and used as confetti or streamers",2022040016,"book","cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
"17","chair","doorstop",2022040017,"book","cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
"18","chair","start a fire",2022040018,"book","cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
"19","chair","paperweight",2022040019,"book","cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
"20","chair","prop up a wobbly table leg",2022040020,"book","cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
"21","chair","coaster for drinks (to prevent water rings on furniture)",2022040021,"book","cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
"22","chair","doorstop",2022040022,"book","cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
"23","chair","hold open a window",2022040023,"book","cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
"24","chair","coaster for a hot beverage",2022040024,"book","cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
"25","chair","level a table or shelf",2022040025,"book","cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
"26","chair","used as an improvised weapon in self-defense or attack",2022040026,"book","cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
"27","chair","Make a book into a lampshade",2022040027,"book","cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
"28","chair","Turn an old book into a secret compartment",2022040028,"book","cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
"29","chair","Use books as coasters for your drinks",2022040029,"book","cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
"30","chair","Build a fort out of old books",2022040030,"book","cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
"31","chair","Donate books to your local library or hospital waiting room",2022040031,"book","cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
"32","chair","Give a new twist to an old favorite by reading it in character voices",2022040032,"book","cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
"33","chair","doorstop",2022040033,"book","cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
"34","chair","start a fire",2022040034,"book","cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
