AUT-response_id,participant_fk,stimulus_fk,starttime,endtime,response,toptwo,response_EN_translated,response_EN_corrected
17,1,5,0,0,bord,NULL,board,plate
18,1,5,0,0,geheime boodschappen versturen,NULL,send secret messages,send secret messages
19,1,5,0,0,alternatief voor seksleven,NULL,alternative for sex life,alternative for sex life
20,1,5,0,0,doorverkopen,NULL,resell,resell
53,7,5,1464597939012,1464597957135,vijl,1,file,file
54,7,5,1464597957135,1464597965375,drukpers,1,printing press,printing press
55,7,5,1464597965375,1464597982254,om in te breken,NULL,to break in,to break in
56,7,5,1464597982254,1464598043271,iemands hand breken,NULL,break someone's hand,break someone's hand
57,7,5,1464598043271,1464598051912,een revolutie beginnen,NULL,start a revolution,start a revolution
87,8,5,1464598838107,1464598839937,boek 1,1,book 1,book 1
88,8,5,1464598839937,1464598841222,boek 2,1,book 2,book 2
89,8,5,1464598841222,1464598842418,boek 3,NULL,book 3,book 3
111,9,5,1464598960231,1464598963675,pletter,1,splash,splash
112,9,5,1464598963675,1464598967956,boekensteun,1,bookend,bookend
144,11,5,1464608553288,1464608556666,Als kussen,1,As a pillow,As a pillow
145,11,5,1464608556666,1464608564525,/hoofdsteun,NULL,/headrest,/headrest
146,11,5,1464608564525,1464608573780,Als verhoging (om op te staan),NULL,As an elevation (to stand on),As an elevation (to stand on)
147,11,5,1464608573780,1464608586028,"Als gewicht, en je wil spiertraining doen",1,"As a weight, and you want to do muscle training","As a weight, and you want to do muscle training"
148,11,5,1464608586028,1464608617594,Je kan van de losse blaadjes vliegtuigjes vouwen,NULL,You can fold airplanes from the loose leaves,You can fold airplanes from the loose leaves
149,11,5,1464608617594,1464608634543,En van het karton een mal om te schilderen,NULL,And from the cardboard a mold for painting,And from the cardboard a mold for painting
205,12,5,1464695847626,1464695853003,onderzetter,NULL,coaster,coaster
206,12,5,1464695853003,1464695856407,hoofddeksel,NULL,headgear,headgear
207,12,5,1464695856407,1464695864201,trappetje,NULL,stairs,stairs
208,12,5,1464695864201,1464695865782,baksteen,1,brick,brick
209,12,5,1464695865782,1464695869519,decoratie,NULL,decoration,decoration
210,12,5,1464695869519,1464695876656,bloempot,NULL,flowerpot,flowerpot
211,12,5,1464695876656,1464695879932,wcpapier,1,toilet paper,toilet paper
261,13,5,1464696848100,1464696855148,onderzetter,NULL,coaster,coaster
262,13,5,1464696855148,1464696901421, een stapel boeken als nachtkastje,1, a stack of books as a bedside table, a stack of books as a bedside table
263,13,5,1464696901421,1464696952337,als paraplu tegen de regen,1,as an umbrella against the rain,as an umbrella against the rain
341,14,5,1464779840474,1464779843481,eruit lezen,NULL,read out,read from
342,14,5,1464779843481,1464779849669,gebruiken als wapen (er mee gooien)\,NULL,Using it as a weapon (throwing it around).,Using it as a weapon (throwing it around).
343,14,5,1464779849669,1464779853253,geluid mee maken,NULL,make noise with it,make noise with it
344,14,5,1464779853253,1464779858722,je kunt er dingen in opschrijven,NULL,you can write things down in it,you can write things down in it
345,14,5,1464779858722,1464779870317,gebruiken als onderzetter,NULL,use as a coaster,use as a coaster
346,14,5,1464779870317,1464779875707,gebruiken als opstapje,NULL,use as a step,use as a step
347,14,5,1464779875707,1464779889211,als decoratie gebruiken (bijv in je boekenkast),NULL,use as decoration (e.g. in your bookcase),use as decoration (e.g. in your bookcase)
348,14,5,1464779889211,1464779908974,om iets in te verstoppen (bijv een briefje of een kauwgompje),1,"to hide something in (e.g., a bill or a gum)","to hide something in (e.g., a bill or a gum)"
349,14,5,1464779908974,1464779924556,als verkoeler (wapperen met die bladeren),1,as a cooler (flapping those leaves),as a cooler (flapping those leaves)
350,14,5,1464779924556,1464779946465,je kunt het ook gebruiken als bouwsteen,NULL,you can also use it as a building block,you can also use it as a building block
351,14,5,1464779946465,1464779956218,verbranden in de kachel (als hout),NULL,burn in the stove (as wood),burn in the stove (as wood)
425,15,5,1464785178844,1464785185616,ophoging voor je computer,NULL,elevation for your computer,elevation for your computer
426,15,5,1464785185616,1464785190607,onderzetter,NULL,coaster,coaster
427,15,5,1464785190607,1464785214845,tafeltennisbadje,1,table tennis pool,table tennis pool
428,15,5,1464785214845,1464785231155,je kan er iemand mee slaan,NULL,you can hit someone with it,you can hit someone with it
429,15,5,1464785231155,1464785236366,je kan er op trommelen,NULL,you can drum on it,you can drum on it
430,15,5,1464785236366,1464785251437,gebruiken als boekensteun,NULL,use as a bookend,use as a bookend
431,15,5,1464785251437,1464785263926,opvulling van de kast,NULL,cabinet padding,cabinet padding
432,15,5,1464785263926,1464785290394,je kunt een boek goed rechtop zetten en er achter spieken,1,you can put a book upright and peer behind it,you can put a book upright and peer behind it
495,16,5,1464787589004,1464787594096,steun voor meubels,NULL,support for furniture,support for furniture
496,16,5,1464787594096,1464787596960,onderzetter,NULL,coaster,coaster
497,16,5,1464787596960,1464787599152,gewicht,NULL,weight,weight
498,16,5,1464787599152,1464787601391,brandmateriaal,1,fire equipment,fire equipment
499,16,5,1464787601391,1464787607855,decoratie,NULL,decoration,decoration
500,16,5,1464787607855,1464787618862,kladboek,NULL,scrapbook,scrapbook
